810.6667,219.2,100,100,0.001
800,190,100,100,0.001
890.8571,180,200,100,0.0005
1037.5385,196.3077,200,100,0.0005
1151.3333,222,120,100,0.001
1252.9231,246.7692,120,100,0.001
1342.6667,272,120,100,0.001
1427.4286,297.7143,120,100,0.001
1509.7143,326.2857,120,100,0.001
1588.5714,353.7143,120,100,0.001
1669.6471,385.4118,120,100,0.001
1755,419.5,120,100,0.001
1836,456,120,100,0.001
1916.5714,494.2857,120,100,0.001
1996,534.8571,120,100,0.001
2072.9412,577.4118,120,100,0.001
2148,620,120,100,0.001
2225.6,666.1333,120,100,0.001
2303.3846,716.9231,120,100,0.001
2380.3077,766.7692,120,100,0.001
2418,788,100,100,0.001
2411.6923,820,100,100,0.001
2397.8182,933.8182,120,100,0.001
2476.3077,939.0769,100,100,0.001
2501,950,70,70,0.001
2500,1114.53845,70,300,0.0006
2502,1290,70,200,0.0006
2505.1,1407.9,70,200,0.0006
2508.2,1525.8,70,200,0.0006
2511.3,1643.7,70,200,0.0006
2514.4,1761.6,70,200,0.0006
2515.514275,1881.2,70,200,0.0006
2516.62855,2000.8,70,200,0.0006
2517.742825,2120.4,70,200,0.0006
2518.8571,2240,70,200,0.0006
2521.142825,2321,70,200,0.0006
2523.42855,2402,70,200,0.0006
2525.714275,2483,70,200,0.0006
2528,2564,70,200,0.0006
2529,2605.9091,70,200,0.0006
2532,2647.8182,70,200,0.0006
2537,2732,70,70,0.001
2504.7273,2731.6364,70,70,0.001
2422.5455,2752.7273,100,100,0.001
2414.2222,2826.6667,100,100,0.001
2407,2857,100,100,0.001
2288,2858.9091,200,70,0.001
2075.66665,2852.45455,300,70,0.001
1863.3333,2846,200,70,0.001
1802,2818,100,100,0.001
1715,2722.5,100,100,0.001
1675,2646.5,100,100,0.001
1632.6154,2572.3077,100,100,0.001
1587.6364,2501.8182,100,100,0.001
1533,2434,100,100,0.001
1484,2368,100,100,0.001
1417.66665,2307,100,100,0.001
1351.3333,2246,100,100,0.001
1266.6667,2182.6667,100,100,0.001
1181.7143,2125.7143,100,100,0.001
1108.7059,2086.5882,100,100,0.001
1032,2060,100,100,0.001
973.3333,2048,200,100,0.0005
839,2046,200,100,0.0005
710.5455,1998.5455,100,100,0.001
649.6842,1941.8947,70,80,0.001
616,1874.6667,70,200,0.0005
610.85715,1668.7619,70,250,0.0005
605.7143,1462.8571,70,250,0.0005
603.4286,1322.2857,70,200,0.0008
601.1429,1181.7143,70,200,0.0006
596.57145,986.85715,70,200,0.0006
592,792,70,200,0.0006
596.6154,597.53845,70,200,0.0006
601.2308,403.0769,70,200,0.0006
628.5714,336,100,100,0.001
669,285,100,100,0.001
698.1333,290.6667,100,100,0.001
772.5714,334.8571,100,100,0.001
830.8571,294.8571,100,100,0.001
